country,cowcc,year,risk,level,explore,pursue,acquire,gdpcap,g2,industry1,rivalry,disputes,allies,democracy,democratization,percentdems,openness,liberalization
USA,2,1945,0,3,1,1,1,10598,112000000,1,1,6,0,10,0,29.17,7,1
USA,2,1946,1,3,,,,10621,113000000,1,1,5,0,10,0,30.139999,7,1
USA,2,1947,2,3,,,,10644,113000000,1,1,4,0,10,0,28.379999,7,1
USA,2,1948,3,3,,,,10665,114000000,1,1,3,0,10,0,29.110001,8,1
USA,2,1949,4,3,,,,10686,114000000,1,1,3,0,10,0,28.75,8,1
USA,2,1950,5,3,,,,10715,115000000,1,1,4,0,10,0,29.629999,8.1800003,1.24
USA,2,1951,6,3,,,,11174,125000000,1,1,4.5,0,10,0,29.27,9.4200001,1.24
USA,2,1952,7,3,,,,11569,134000000,1,1,4,0,10,0,32.93,8.8999996,0.70999998
USA,2,1953,8,3,,,,11904,142000000,1,1,4,0,10,0,31.33,8.3699999,0.19
USA,2,1954,9,3,,,,11507,132000000,1,1,4,0,10,0,31.4,8.4700003,0.28
USA,2,1955,10,3,,,,12073,146000000,1,1,4,0,10,0,31.030001,8.6599998,-0.75999999
USA,2,1956,11,3,,,,12112,147000000,1,1,4,0,10,0,31.82,9.4099998,0.50999999
USA,2,1957,12,3,,,,12110,147000000,1,1,4.4000001,0,10,0,32.580002,9.79,1.42
USA,2,1958,13,3,,,,11788,139000000,1,1,5.5999999,0,10,0,28.889999,8.8400002,0.38
USA,2,1959,14,3,,,,12313,152000000,1,1,5.8000002,0,10,0,29.030001,8.7399998,0.07
USA,2,1960,15,3,,,,12413,154000000,1,1,6.1999998,0,10,0,25.889999,9.4499998,0.039999999
USA,2,1961,16,3,,,,12486,156000000,1,1,7,0,10,0,25.219999,9.2600002,-0.52999997
USA,2,1962,17,3,,,,13046,170000000,1,1,8.1999998,0,10,0,25.219999,9.2700005,0.41999999
USA,2,1963,18,3,,,,13446,181000000,1,1,7.1999998,0,10,0,25.219999,9.3000002,0.56
USA,2,1964,19,3,,,,14047,197000000,1,1,8,0,10,0,21.950001,9.6199999,0.17
USA,2,1965,20,3,,,,14768,218000000,1,1,8.3999996,0,10,0,22.58,9.5900002,0.33000001
