,level_0,index,country,cowcc,year,risk,level,explore,pursue,acquire,gdpcap,g2,industry1,rivalry,disputes,allies,democracy,democratization,percentdems,openness,liberalization,iso2c,iso3c,region,log_gdpcap,log_g2
0,0,0,USA,2,1945,0,3,1,1,1,10598,112000000,1,1,6,0,10,0,29.17,7,1,US,USA,Northern America,9.268514936,18.53400944
61,61,61,Canada,20,1950,5,0,0,0,0,9023,81400000,1,0,1,1,10,0,29.629999,40.849998,2.5799999,CA,CAN,Northern America,9.107642974,18.21488584
62,62,62,Canada,20,1951,6,0,0,0,0,9329,87000000,1,0,1,1,10,0,29.27,43.43,2.5799999,CA,CAN,Northern America,9.140990294,18.28141869
63,63,63,Canada,20,1952,7,0,0,0,0,9797,96000000,1,0,1,1,10,0,32.93,39.16,-1.6900001,CA,CAN,Northern America,9.189933562,18.37985876
64,64,64,Canada,20,1953,8,0,0,0,0,9946,98900000,1,0,1,1,10,0,31.33,38.529999,-2.3299999,CA,CAN,Northern America,9.205026277,18.40961981
65,65,65,Canada,20,1954,9,0,0,0,0,9527,90800000,1,0,0.80000001,1,10,0,31.4,37.040001,-3.8099999,CA,CAN,Northern America,9.161990111,18.32416985
66,66,66,Canada,20,1955,10,0,0,0,0,10005,100000000,1,0,0.60000002,1,10,0,31.030001,38.709999,-4.7199998,CA,CAN,Northern America,9.210940192,18.42068075
67,67,67,Canada,20,1956,11,0,0,0,0,10596,112000000,1,0,0.40000001,1,10,0,31.82,39.380001,0.22,CA,CAN,Northern America,9.268326221,18.53400944
68,68,68,Canada,20,1957,12,0,0,0,0,10431,109000000,1,0,0.2,1,10,0,32.580002,37.970001,-0.55000001,CA,CAN,Northern America,9.252633284,18.50685845
69,69,69,Canada,20,1958,13,0,0,0,0,10330,107000000,1,0,0,1,10,0,28.889999,35.400002,-1.63,CA,CAN,Northern America,9.242904363,18.4883394
70,70,70,Canada,20,1959,14,0,0,0,0,10432,109000000,1,0,0,1,10,0,29.030001,35.959999,-2.75,CA,CAN,Northern America,9.252729138,18.50685845
71,71,71,Canada,20,1960,15,0,0,0,0,10419,109000000,1,0,0,1,10,0,25.889999,35.59,-3.79,CA,CAN,Northern America,9.251482315,18.50685845
72,72,72,Canada,20,1961,16,0,0,0,0,10459,109000000,1,0,0,1,10,0,25.219999,36.279999,-1.6900001,CA,CAN,Northern America,9.255313738,18.50685845
73,73,73,Canada,20,1962,17,0,0,0,0,10981,121000000,1,0,0,1,10,0,25.219999,36.099998,0.69,CA,CAN,Northern America,9.304012848,18.61130111
74,74,74,Canada,20,1963,18,0,0,0,0,11353,129000000,1,0,0,1,10,0,25.219999,35.990002,0.029999999,CA,CAN,Northern America,9.337325384,18.67532297
75,75,75,Canada,20,1964,19,0,0,0,0,11907,142000000,1,0,0,1,10,0,21.950001,37.740002,2.1500001,CA,CAN,Northern America,9.384965722,18.77133762
76,76,76,Canada,20,1965,20,0,0,0,0,12461,155000000,1,0,0,1,10,0,22.58,37.66,1.38,CA,CAN,Northern America,9.430439293,18.85893568
77,77,77,Canada,20,1966,21,0,0,0,0,13024,170000000,1,0,0,1,10,0,22.83,39.150002,3.05,CA,CAN,Northern America,9.474625867,18.951309
78,78,78,Canada,20,1967,22,0,0,0,0,13095,171000000,1,0,0,1,10,0,22.66,40.009998,4.02,CA,CAN,Northern America,9.480062119,18.95717412
79,79,79,Canada,20,1968,23,0,0,0,0,13561,184000000,1,0,0,1,10,0,22.9,41.68,3.9400001,CA,CAN,Northern America,9.515027043,19.03044632
